open_time	open	high	low	close	volume	close_time	quote_asset_volume	num_trades	taker_buy_base_vol	taker_buy_quote_vol	open_dt	close_dt
1740092400000	98164.27	98164.27	98164.27	98164.27	0.00196	1740093299999	192.4019692	1	0	0	2025-02-20 23:00:00+00:00	2025-02-20 23:14:59.999000+00:00
1740093300000	98291.52	98291.52	98291.52	98291.52	0.00098	1740094199999	96.3256896	1	0	0	2025-02-20 23:15:00+00:00	2025-02-20 23:29:59.999000+00:00
1740094200000	98300	98300	98300	98300	0.00336	1740095099999	330.288	4	0.00336	330.288	2025-02-20 23:30:00+00:00	2025-02-20 23:44:59.999000+00:00
1740095100000	98288.15	98300	98222.29	98222.29	0.00165	1740095999999	162.1549898	3	0.00033	32.439	2025-02-20 23:45:00+00:00	2025-02-20 23:59:59.999000+00:00
1740096000000	98300	98300	98300	98300	0.01227	1740096899999	1206.141	14	0.01227	1206.141	2025-02-21 00:00:00+00:00	2025-02-21 00:14:59.999000+00:00
1740096900000	98300	98300	98300	98300	0.00152	1740097799999	149.416	7	0.00152	149.416	2025-02-21 00:15:00+00:00	2025-02-21 00:29:59.999000+00:00
1740097800000	98300	98300	98300	98300	0.00047	1740098699999	46.201	3	0.00047	46.201	2025-02-21 00:30:00+00:00	2025-02-21 00:44:59.999000+00:00
1740098700000	98085.18	98093.65	98085.18	98093.65	0.00088	1740099599999	86.3195322	3	0	0	2025-02-21 00:45:00+00:00	2025-02-21 00:59:59.999000+00:00
1740099600000	98298.88	98298.88	98298.88	98298.88	0.00027	1740100499999	26.5406976	1	0.00027	26.5406976	2025-02-21 01:00:00+00:00	2025-02-21 01:14:59.999000+00:00
1740100500000	98298.88	98298.88	98298.88	98298.88	0	1740101399999	0	0	0	0	2025-02-21 01:15:00+00:00	2025-02-21 01:29:59.999000+00:00
1740101400000	98298.88	98298.88	98298.88	98298.88	0	1740102299999	0	0	0	0	2025-02-21 01:30:00+00:00	2025-02-21 01:44:59.999000+00:00
1740102300000	98300	98300	98300	98300	0.00035	1740103199999	34.405	1	0.00035	34.405	2025-02-21 01:45:00+00:00	2025-02-21 01:59:59.999000+00:00
1740103200000	98300	98300	98225.72	98300	0.01771	1740104099999	1739.6606948	5	0.00112	110.096	2025-02-21 02:00:00+00:00	2025-02-21 02:14:59.999000+00:00
1740104100000	98300	98300	98136.31	98136.31	0.01714	1740104999999	1683.2090096	13	0.00144	141.552	2025-02-21 02:15:00+00:00	2025-02-21 02:29:59.999000+00:00
1740105000000	98133.01	98200	98105.79	98105.79	0.00254	1740105899999	249.3041363	7	0	0	2025-02-21 02:30:00+00:00	2025-02-21 02:44:59.999000+00:00
1740105900000	98105.79	98105.79	98083.49	98083.49	0.0021	1740106799999	205.993838	4	0	0	2025-02-21 02:45:00+00:00	2025-02-21 02:59:59.999000+00:00
1740106800000	98083.49	98083.49	98083.49	98083.49	0.00034	1740107699999	33.3483866	2	0	0	2025-02-21 03:00:00+00:00	2025-02-21 03:14:59.999000+00:00
1740107700000	98091.87	98163.6	98083.48	98163.6	0.00511	1740108599999	501.2860513	9	0	0	2025-02-21 03:15:00+00:00	2025-02-21 03:29:59.999000+00:00
1740108600000	98083.49	98083.49	98083.49	98083.49	0.00018	1740109499999	17.6550282	1	0	0	2025-02-21 03:30:00+00:00	2025-02-21 03:44:59.999000+00:00
1740109500000	98083.49	98083.49	98083.49	98083.49	0.00035	1740110399999	34.3292215	1	0	0	2025-02-21 03:45:00+00:00	2025-02-21 03:59:59.999000+00:00
1740110400000	98130.29	98130.29	98130.29	98130.29	0.00014	1740111299999	13.7382406	1	0	0	2025-02-21 04:00:00+00:00	2025-02-21 04:14:59.999000+00:00
1740111300000	98130.29	98130.29	98130.29	98130.29	0	1740112199999	0	0	0	0	2025-02-21 04:15:00+00:00	2025-02-21 04:29:59.999000+00:00
1740112200000	98130.29	98130.29	98130.29	98130.29	0	1740113099999	0	0	0	0	2025-02-21 04:30:00+00:00	2025-02-21 04:44:59.999000+00:00
1740113100000	98130.29	98130.29	98130.29	98130.29	0	1740113999999	0	0	0	0	2025-02-21 04:45:00+00:00	2025-02-21 04:59:59.999000+00:00
1740114000000	98093.99	98093.99	98093.99	98093.99	0.00052	1740114899999	51.0088748	1	0	0	2025-02-21 05:00:00+00:00	2025-02-21 05:14:59.999000+00:00
